Brand,Model Name,Screen Size,Colour,CPU Model,RAM Memory Installed Size,Operating System,Special Feature,Graphics Card Description,CPU Speed,HDD,Price
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i3,8 GB,Windows 11 Home,Thin,Integrated,3.3 GHz,,"32,990"
Dell,Inspiron 3520,15.6 Inches,Silver,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"51,500"
Lenovo,Lenovo ThinkPad,14 Inches,,Intel Core i5,16 GB,Windows,"Touchscreen, Webcam, Light Weight, Thin",Integrated,2.5 GHz,256 GB,
Lenovo,Lenovo ThinkPad,12.5 Inches,,Intel Core i5,8 GB,Windows,"Webcam, Light Weight, Thin",Integrated,2.2 GHz,256 GB,
HP,640G3-cr,14 Inches,,Core i5 7200U,16 GB,Windows 10 Pro,,Integrated,2.5 GHz,512 GB,
Acer,Aspire Lite,15.6 Inches,Steel Gray,Ryzen 3 5300U,8 GB,Windows 11 Home,Light Weight,Integrated,,,"26,990"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Thin",Integrated,,512 GB,"49,870"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Backlit Keyboard, Thin, Numeric Keypad",Integrated,,512 GB,"38,490"
Dell,Dell Laptop,14 Inches,Carbon Black,Ryzen 5 5500U,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"35,990"
Apple,MacBook Pro,14 Inches,Space Grey,Apple M2 Ultra,8 GB,Mac OS,Backlit Keyboard,Integrated,,1 TB,"1,74,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Portable, Thin",Integrated,,,"33,030"
Lenovo,ThinkBook 15 G5,15.6 Inches,Mineral Grey,Ryzen 7,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,,"48,480"
ASUS,Vivobook S 15 OLED (2023),15.6 Inches,"Silver,16GB RAM | 512GB SSD,OLED",Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"74,990"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 7,16 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Thin",Integrated,,512 GB,"49,870"
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Backlit Keyboard, Thin, Numeric Keypad",Integrated,,512 GB,"38,490"
Lenovo,IdeaPad Slim 3,14 Inches,Arctic Grey,Intel Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"52,399"
Lenovo,LOQ,15.6 Inches,Luna Grey,Intel Core i7,24 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"1,05,990"
ASUS,Vivobook Go 14 (2023),14 Inches,Grey Green,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"31,700"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i5-1235U,16 GB,Windows 11 Home,Thin,Integrated,,,"40,990"
HP,15-fa1317X,39.6 Centimetres,Blue,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,1 TB,"79,990"
ASUS,Vivobook S15 OLED (2022),39.62 Centimetres,Green 16GB OLED,Core i5,16 GB,Windows 11 Home,"FHD (1920 x 1080) OLED 16:9 aspect ratio Display, 100% DCI-P3 color gamut, Fingerprint Recognition, Backlit Chiclet Keyboard with Num-key, Thunderbolt 4FHD (1920 x 1080) OLED 16:9 aspect ratio Display, 100% DCI-P3 color gamu…See more",Integrated,,512 GB,"63,990"
HP,HP Pavilion Laptop,40.6 Centimetres,Natural Silver,Core i7,16 GB,Windows 11 Home,"Intel® Evo™ laptop, NVIDIA® GeForce RTX™ 3050 Laptop GPU (6 GB GDDR6 dedicated), Backlit Keyboard, Numeric Keyboard, Low blue light, Oled Display WQXGA (2560 x 1600), 400 NitsIntel® Evo™ laptop, NVIDIA® GeForce RTX™ 3050 Lapt…See more",Dedicated,,1 TB,"1,04,980"
HP,HP Laptop,39.6 Centimetres,Natural Silver,Core i3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"39,970"
MSI,Modern 14 C12M-459IN,36 Centimetres,Classic Black,Core i7,16 GB,Windows 11 Home,Thin,Integrated,,512 GB,"48,990"
Lenovo,IdeaPad Slim 5 14IAH8,14 Inches,12th Gen i5 | 16GB | 1TB SSD,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"61,490"
Dell,Vostro,14 Inches,Black,Core i3 Family,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"36,999"
ASUS,Vivobook 15,15.6 Inches,Quiet Blue i3 13th Gen FHD,Core i3,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"38,990"
Lenovo,ThinkBook 15 G5,15.6 Inches,Mineral Grey,Ryzen 7,16 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"48,490"
Apple,MacBook Pro,16 Inches,Space Black,Apple M2 Ultra,18 GB,Mac OS,Backlit Keyboard,Integrated,,512 GB,"2,29,990"
Lenovo,Lenovo ThinkPad,14 Inches,Black,Intel Core i5,8 GB,Windows,,Integrated,2.6 GHz,,
Lenovo,Lenovo ThinkPad,14 Inches,black,Intel Core i5,16 GB,Windows,"Touchscreen, Webcam, Light Weight, Thin",Integrated,,256 GB,
Dell,Dell Laptop,15.6 Inches,Dark Shadow Gray with Black thermal shelf,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,1 TB,"72,990"
ZEBRONICS,ZEB-NBC 5S 16GB (Space Grey),15.6 Inches,Space Grey,Intel Core i7,16 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated graphic,,512 GB,"37,990"
Lenovo,IdeaPad Slim 3,15 Inches,Arctic Grey,Intel Core i7,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,
Lenovo,,15.6 Inches,grey,Intel Core i5,512 GB,Windows,"Anti Glare Screen, Light Weight, Thin",Integrated,,512 GB,"43,500"
Apple,MacBook Pro,14 Inches,Silver,Apple M2 Ultra,18 GB,Mac OS,Backlit Keyboard,Integrated,,1 TB,"2,19,990"
ZEBRONICS,ZEB-NBC 5S 16GB,15.6 Inches,Space Grey,Intel Core i7,16 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated graphic,,1 TB,"41,990"
Lenovo,IdeaPad 3,15.6 Inches,Arctic Grey,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,,512 GB,"35,218"
Jio,JioBook,11.6 Inches,Blue,Others,4 GB,JioOS,"Universal compatibility, Premium SoftMaker Office 2024 included for lifetime, 4G-LTE, Multi-Window Support, Data sharing with existing Jio mobile number, Ultra-light and compact < 1kgUniversal compatibility, Premium SoftMa…See more",Integrated,,64 GB,"15,499"
Apple,MacBook Pro,14 Inches,Space Grey,Apple M2 Ultra,8 GB,Mac OS,Backlit Keyboard,Integrated,,512 GB,"1,55,990"
HP,15-fd1099TU,15.6 Inches,Silver,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"69,990"
HP,HP Laptop,39.6 Centimetres,Natural Silver,Ryzen 5,8 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"39,890"
Lenovo,IdeaPad,14 Inches,12th Gen i5 | 16GB | 512GB SSD,Intel Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"50,490"
ASUS,Vivobook 15,15.6 Inches,Transparent Silver,Celeron,8 GB,Windows 11 Home,"Light Weight, Thin",Integrated,,512 GB,"25,990"
Primebook,Primebook 4G,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,Memory Card Slot,Integrated,,64 GB,"14,149"
ASUS,Vivobook Go 14,14 Inches,silver,Ryzen 5 7600X,16 GB,,Numeric Keypad,,,512 GB,"40,990"
HP,15s-fq3073TU,39.6 Centimetres,Natural Silver,Pentium,8 GB,Windows 11 Home,FHD,Integrated,,512 GB,"28,990"
Lenovo,Lenovo V14,14 Inches,Iron Grey,Core i3-1215U,8 GB,DOS,Thin,Integrated,,512 GB,"31,689"
HP,Laptop,40.9,Shadow Black,Ryzen 7,16 GB,Windows 11 Home,"FHD, Backlit Keyboard",Dedicated,,1 TB,"1,11,990"
Lenovo,Lenovo V15 G2 IJL,15.6 Inches,Black,Celeron,8 GB,DOS,Thin,Integrated,,256 GB,"21,399"
Lenovo,Ryzen 5,15.6 Inches,Arctic Grey,Ryzen 5,16 GB,Windows 11 Home,"HD Audio, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"42,980"
Lenovo,Lenovo V15,15.6 Inches,Arctic Grey,Ryzen 3,8 GB,Windows 11 Home,"Anti Glare Screen, Thin",Integrated,,,"27,990"
Samsung,Galaxy Book3 Pro 360,40.62 Centimetres,Graphite,Others,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"1,11,990"
ASUS,Zenbook 14 (2023),14 Inches,"16GB RAM | 512GB SSD,FHD,Black",Ryzen 5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"64,990"
HP,15-fa1227tx,39.6 Centimetres,Blue,Intel Core i5,16 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display",Dedicated,,512 GB,"57,990"
Dell,Vostro,14 Inches,Titan Grey,Core i5,8 GB,Windows 11 Home,Thin,Integrated,,,"45,990"
Dell,Vostro,15.6 Inches,Black,Core i5,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"44,990"
Lenovo,IdeaPad Slim 5,16 Inches,Cloud Grey,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"79,990"
Acer,ALG,15.6 Inches,Steel Gray,Core i5,16 GB,Windows 11 Home,"HD Audio, Memory Card Slot, Numeric Keypad",Dedicated,3.3 GHz,,"51,999"
Dell,Vostro,14 Inches,Dark Silver,Core i5,16 GB,Windows 11 Home,Standard Keyboard,Integrated,,512 GB,"48,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Thin",Integrated,3.3 GHz,,"42,990"
HP,HP 255 G8 Notebook,39.6 Centimetres,Dark Ash Silver,Ryzen 3,8 GB,Windows 11 Pro,"Anti-glare Display, Narrow bazel, HD, Numeric Keypad",Integrated,,512 GB,"27,350"
Chuwi,HeroBook Pro,14.1 Inches,,Celeron N4020,8 GB,Windows 11,"Ultra Slim, Full Size Keyboard, Webcam, Light Weight",Integrated,2.8 GHz,256 GB,"16,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i3,8 GB,Windows 11 Home,Thin,Integrated,3.3 GHz,,"32,990"
Acer,AL15-52,15.6 Inches,Steel Gray,Core i3,8 GB,Windows 11 Home,Thin,Integrated,3.3 GHz,,"30,990"
Lenovo,IdeaPad Gaming 3 15ACH6,15.6 Inches,Shadow Black,Ryzen 5,8 GB,Windows 11 Home,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"44,990"
HP,HP 15s,39.6 Centimetres,Natural Silver,Core i5,8 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"53,990"
ASUS,ASUS Vivobook,15.6 Inches,Blue 8GB FHD,Core i5,8 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"45,990"
ZEBRONICS,ZEB-NBC 3S (8 GB) Midnight Blue,15.6 Inches,Midnight Blue,Intel Core i3,8 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated Graphic,4.4 GHz,,"24,990"
Lenovo,IdeaPad 3 15IAU7,15.6 Inches,Arctic Grey,Core i3,8 GB,Windows 11 Home,Built-in Microphone,Integrated,,,"35,490"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Ryzen 7 5700U,16 GB,Windows 11 Home,Light Weight,Integrated,,,"44,990"
ASUS,Vivobook 15 (2023),15.6 Inches,8GB RAM | 512GB SSD,Core i5,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"50,990"
Dell,Inspiron,14 Inches,Platinum Silver,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,512 GB,"61,990"
HP,15s-fq3066TU,39.6 Centimetres,Black,Celeron N,8 GB,Windows 11 Home,Portable,Integrated,,512 GB,"26,490"
Dell,Dell Latitude,12.3 Inches,,Intel Core i5,8 GB,Windows,,Integrated,2.3 GHz,,
HP,eq2100 series,39.6 Centimetres,Silver,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,Built in Alexa,Integrated,,512 GB,"40,990"
Lenovo,Lenovo ThinkPad,12.5 Inches,,Intel Core i5,8 GB,Windows,"Webcam, Light Weight, Thin",Integrated,2.3 GHz,,
ASUS,ASUS Vivobook 16,40.64 Centimetres,"Black,16 inch",Core i3,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"34,990"
ASUS,ASUS Vivobook,15.6 Inches,Blue 16GB FHD,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"49,990"
Lenovo,LOQ,15.6 Inches,Luna Grey,Intel Core i5,16 GB,Windows 11,Anti Glare Coating,Dedicated,,512 GB,"66,490"
HP,HP Chrome,14 Inches,rey,Intel Core i5,8 GB,Windows,Thin,Integrated,,64 GB,
Lenovo,Lenovo V310,14 Inches,,Intel Core i3,8 GB,Windows,,Integrated,2 GHz,,
Acer,Swift Go 14,14 Inches,Silver,Unknown,16 GB,Windows 11 Home,Thin,Integrated,,,"79,990"
HP,15s-ey1508AU,15.6 Inches,Black,Ryzen 3,8 GB,Windows 11 Home,"Micro-Edge Display, HD",Integrated,,256 GB,"27,490"
ASUS,Vivobook 14X 2023,14 Inches,Indie Black,Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"65,990"
Lenovo,LOQ 15IRH8,15.6 Inches,Storm Grey,Intel Core i5,16 GB,Windows 11,"Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"74,990"
ASUS,ASUS Vivobook S 16 OLED,16 Inches,"Blue,16GB,Intel Ultra 5 125H | Intel Arc Graphics",Core i5,16 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard, OLED Display",Integrated,,,"1,02,949"
Acer,Aspire 3,15.6 Inches,Silver,Celeron,8 GB,Windows 11 Home,,Integrated,1.1 GHz,,"21,990"
Acer,Aspire 3,15.6 Inches,Silver,Celeron,8 GB,Windows 11 Home,,Integrated,1.1 GHz,,
ASUS,TUF Gaming,15.6 Inches,Black,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"50,990"
HP,16-e0350ax,39.6 Centimetres,Performance Blue,AMD Ryzen 5 5600X,16 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare",Dedicated,,512 GB,"58,990"
HP,HP Laptop,15.6 Inches,Silver,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,,512 GB,"51,800"
HP,HP Chromebook,13.3 Inches,,Core M Family,8 GB,Chrome OS,"Anti Glare Screen, Thin",Integrated,1.1 GHz,,
Honor,BRN-F56,16 Inches,Space Gray,Core i5-12450H,16 GB,Windows 11 Home,"Anti Glare Coating, Numeric Keypad",Integrated,,512 GB,"41,990"
Lenovo,IdeaPad 3,15.6 Inches,Arctic Grey,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,,512 GB,"35,218"
ASUS,ASUS Vivobook 15,15.6 Inches,Icelight Silver,Core i7,16 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard",Integrated,,,"57,990"
HP,15-fa1307TX,39.6 Centimetres,Silver,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,1 TB,"64,990"
Lenovo,IdeaPad Slim 5 16IRL8,16 Inches,Cloud Grey,Core i7,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,1 TB,"79,990"
Primebook,Primebook S Wifi,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,"Light Weight, Thin",Integrated,,128 GB,"13,490"
HP,15s-fy5011TU,15.6 Inches,Silver,Intel Core i3,8 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"35,990"
Lenovo,Lenovo ThinkPad,15.6 Inches,,Intel Core i7,16 GB,Windows,,Dedicated,2.7 GHz,,
Lenovo,Lenovo V15 G4,15.6 Inches,Arctic Grey,Ryzen 3,8 GB,Windows 11 Home,"Anti Glare Screen, Thin",Integrated,,512 GB,"27,990"
HP,HP Laptop,35.6 Centimetres,Moonlight Blue,Intel Core i3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Soft grey keyboard, Anti Glare Coating",Integrated,,512 GB,"40,490"
ASUS,BR022WS,15.6 Inches,Transparent Silver,Celeron,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"24,990"
HP,HP Laptop,35.6 Centimetres,Silver,Core i3,8 GB,Windows 11 Home,"FHD, Micro-Edge Display, Anti-Glare",Integrated,,512 GB,"35,990"
ASUS,ASUS Vivobook 16X,16 Inches,Indie Black,Intel Core i5,16 GB,Windows 11 Home,"Fingerprint Reader, Anti-glare Display, Antivirus - McAfee 1 year",Integrated,,,"56,980"
Lenovo,IdeaPad 1 14IGL7,14 Inches,Cloud Grey,Celeron N4020,8 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"25,990"
Lenovo,Lenovo ThinkPad,14 Inches,Black,Intel Core i5,8 GB,Windows,"Webcam, Light Weight, Thin",Integrated,,256 GB,
ASUS,TUF Gaming F15,15.6 Inches,Graphite Black,AMD Ryzen 7,16 GB,Windows 11 Home,"AI noise-canceling technology DTS software Hi-Res certification (for headphone), Adaptive-Sync, Anti-glare display, Built-in array microphoneAI noise-canceling technology DTS software Hi-Res c…See more",Dedicated,,512 GB,"67,990"
HP,15-fa1319X,39.6 Centimetres,Silver,Intel Core i5,16 GB,Windows 11 Home,Anti Glare Screen,Dedicated,,512 GB,"75,990"
Lenovo,Yoga Slim 7,14 Inches,Luna Grey,Intel Core i7,32 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Integrated,,1 TB,"1,05,799"
Lenovo,IdeaPad,15.6 Inches,Arctic Grey - 8GB | Intel Core i5 1235U,Core i5,8 GB,Windows 11 Home,"Anti Glare Screen, Thin",Integrated,,512 GB,"45,999"
HP,HP Laptop,39.6 Centimetres,Silver,Core i3,8 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Light Weight",Integrated,,512 GB,"35,490"
ASUS,ASUS Zenbook 14 OLED,14 Inches,"Silver,32GB,Intel Ultra 7 155H|Intel Arc Graphics",Intel Core Ultra 7,32 GB,Windows 11 Home,"Thunderbolt Port, 70% less harmful blue light, Touch screen",Integrated,,,"1,27,990"
Chuwi,,14 Inches,Black,Core i5-1035G1,16 GB,,"Portable, Backlit Keyboard, Light Weight",,,512 GB,
Lenovo,IdeaPad 3 14IAU7,14 Inches,Arctic Grey,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,,512 GB,"33,990"
Lenovo,Lenovo V15 G2 IJL,15.6 Inches,Black,Celeron,8 GB,Windows 11 Home,Thin,Integrated,,256 GB,"22,490"
Jio,JioBook,11.6 Inches,Blue,Others,4 GB,JioOS,"Universal compatibility, Premium SoftMaker Office 2024 included for lifetime, 4G-LTE, Multi-Window Support, Data sharing with existing Jio mobile number, Ultra-light and compact < 1kgUniversal compatibility, Premium SoftMa…See more",Integrated,,64 GB,"15,499"
Walker,NU14A1,14.1 Inches,Silver,Celeron N4020,4 GB,Windows 11 Home,Thin,Integrated,2.8 GHz,,"12,990"
Chuwi,,14 Inches,Black,Core i5-1035G1,16 GB,,"Portable, Backlit Keyboard, Light Weight",,,512 GB,
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i7,16 GB,Windows 11 Home,Thin,Integrated,,,"49,990"
ASUS,Vivobook Pro 15 OLED,39.62 Centimetres,Cool Silver,Ryzen 5,16 GB,Windows 11 Home,"Fingerprint Reader, FHD (1920 x 1080) OLED 16:9 aspect ratio, Backlit Chiclet Keyboard, with Cortana support, Memory Card SlotFingerprint Reader, FHD (1920 x 1080) OLED 16:9 aspect ratio, Backlit Chiclet Keyboard, with Cortana support, Me…See more",Dedicated,,512 GB,"57,990"
ASUS,Vivobook Go 14,14 Inches,Black,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,512 GB,"29,990"
Lenovo,IdeaPad,15.6 Inches,Cloud Grey,Ryzen 5,16 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"36,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Thin",Integrated,3.3 GHz,,"42,990"
HP,HP Chrome,14 Inches,silver,Intel Core i5,8 GB,Chrome OS,Touchscreen,Integrated,,64 GB,
ASUS,ASUS Vivobook 15,15.6 Inches,Intel Core 516GB,Core i5,16 GB,Windows 11 Home,"Precision touchpad, Backlit Keyboard",Integrated,,512 GB,"59,990"
MSI,Thin 15,40 Centimetres,Cosmos Gray,Core i7,16 GB,Windows 11 Home,Thin,Dedicated,,,"59,990"
Lenovo,E14 Gen 5 AMD,14 Inches,Black,Ryzen 5,16 GB,Windows 11 Home,"Backlit Keyboard, Thin",Integrated,,512 GB,"51,990"
ASUS,Vivobook Go 14,14 Inches,Silver,Ryzen 3,8 GB,Windows 11 Home,Anti Glare Coating,Integrated,,1 TB,"34,990"
Dell,Dell Laptop,15.6 Inches,Carbon Black,Core i3,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"38,990"
HP,HP Laptop,15.6 Inches,Natural Silver,AMD Ryzen 5 5500U,8 GB,Windows 11,"Micro Edge, Anti Glare, Dual Speakers, Built in Alexa, Multi Touch Gesture, Lightweight",Integrated,,512 GB,"36,490"
ASUS,ASUS Vivobook 16,15.6 Inches,"Black,16 inch",Core i3,16 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"38,990"
HP,255 G8,15.6 Inches,Black,,8 GB,Windows 11 Home,Numeric Keypad,Integrated,,256 GB,"22,950"
HP,15s-fy5006TU,39.6 Centimetres,Natural Silver,Core i3,8 GB,Windows 11 Home,"FHD, Anti-glare Display",Integrated,,512 GB,"35,990"
Lenovo,IdeaPad 3,14 Inches,Arctic Grey,Core i3,8 GB,"Windows 11 Home 64, English",Built-in Microphone,Integrated,,512 GB,"34,990"
Lenovo,IdeaPad,14 Inches,12th Gen i5 | 16GB | 512GB SSD,Intel Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",Integrated,,512 GB,"50,490"
